"Tract 48201212300, TEXAS, EPA Region 6 (Population: 4,348)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","95","","98"
"2","EJ Index","EJ Index for Ozone","","","95","","98"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","97","","97"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","95","","97"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","95","","94"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","96","","98"
"7","EJ Index","EJ Index for Traffic Proximity","","","91","","93"
"8","EJ Index","EJ Index for Lead Paint","","","95","","95"
"9","EJ Index","EJ Index for Superfund Proximity","","","97","","98"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","88","","95"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","93","","91"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","88","","91"
"13","EJ Index","EJ Index for Wastewater Discharge","","","88","","92"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.4","9.11","94","8.08","96"
"15","Environmental","Ozone (ppb)","69.5","64.6","84","61.6","92"
"16","Environmental","Diesel PM (ug/m3)","0.573","0.218","99","0.261","90-95th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","31","84","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.4","0.3","80","0.31","70-80th"
"19","Environmental","Toxic Releases to Air","41000","12000","92","4600","98"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","340","150","90","210","85"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.57","0.17","91","0.3","78"
"22","Environmental","Superfund Proximity (site count/km distance)","1.1","0.085","99","0.13","98"
"23","Environmental","RMP Proximity (facility count/km distance)","0.8","0.63","76","0.43","84"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","1.6","0.75","86","1.9","69"
"25","Environmental","Underground Storage Tank Indicator","4.1","2.3","80","3.9","73"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","0.012","0.91","73","22","69"
"27","Demographic","Demographic Index","74%","46%","85","35%","92"
"28","Demographic","Supplemental Demographic Index","32%","17%","91","14%","95"
"29","Demographic","People of Color Population","92%","58%","81","39%","90"
"30","Demographic","Low Income Population","57%","34%","80","31%","86"
"31","Demographic","Unemployed","5%","5%","58","6%","57"
"32","Demographic","Limited English Speaking Households","31%","8%","93","5%","96"
"33","Demographic","Population with Less Than High School Education","49%","16%","95","12%","98"
"34","Demographic","Population under Age 5","4%","6%","32","6%","37"
"35","Demographic","Population over Age 64","11%","14%","42","17%","29"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","96","","99"
"37","Supplemental Index","Supplemental Index for Ozone","","","96","","98"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","97","","98"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","97","","98"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","97","","97"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","97","","99"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","94","","95"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","97","","97"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","98","","99"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","92","","97"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","95","","94"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","92","","94"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","92","","94"
