"Tract 26163531800, MICHIGAN, EPA Region 5 (Population: 1,317)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","98","","99"
"2","EJ Index","EJ Index for Ozone","","","97","","92"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","98","","94"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","97","","88"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","98","","80"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","97","","97"
"7","EJ Index","EJ Index for Traffic Proximity","","","94","","91"
"8","EJ Index","EJ Index for Lead Paint","","","99","","99"
"9","EJ Index","EJ Index for Superfund Proximity","","","85","","81"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","93","","89"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","95","","93"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","90","","95"
"13","EJ Index","EJ Index for Wastewater Discharge","","","49","","50"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.5","8.51","97","8.08","97"
"15","Environmental","Ozone (ppb)","63.1","60","78","61.6","64"
"16","Environmental","Diesel PM (ug/m3)","0.317","0.183","92","0.261","70-80th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","30","23","70","28","<50th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.3","0.2","88","0.31","<50th"
"19","Environmental","Toxic Releases to Air","4100","2500","87","4600","83"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","140","120","74","210","65"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.94","0.38","96","0.3","98"
"22","Environmental","Superfund Proximity (site count/km distance)","0.048","0.15","36","0.13","42"
"23","Environmental","RMP Proximity (facility count/km distance)","0.21","0.31","66","0.43","59"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","1.6","1.1","74","1.9","69"
"25","Environmental","Underground Storage Tank Indicator","9.7","8","70","3.9","88"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","6.2E-06","0.13","12","22","15"
"27","Demographic","Demographic Index","81%","28%","96","35%","96"
"28","Demographic","Supplemental Demographic Index","29%","14%","96","14%","94"
"29","Demographic","People of Color Population","100%","26%","97","39%","96"
"30","Demographic","Low Income Population","63%","31%","90","31%","90"
"31","Demographic","Unemployed","42%","7%","99","6%","99"
"32","Demographic","Limited English Speaking Households","0%","2%","0","5%","0"
"33","Demographic","Population with Less Than High School Education","15%","9%","81","12%","71"
"34","Demographic","Population under Age 5","6%","5%","67","6%","64"
"35","Demographic","Population over Age 64","20%","18%","63","17%","66"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","98","","98"
"37","Supplemental Index","Supplemental Index for Ozone","","","97","","93"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","98","","94"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","97","","87"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","98","","79"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","97","","97"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","94","","91"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","98","","98"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","79","","82"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","93","","89"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","94","","93"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","90","","94"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","34","","41"
