"Tract 48201411200, TEXAS, EPA Region 6 (Population: 1,841)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","55","","67"
"2","EJ Index","EJ Index for Ozone","","","56","","67"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","56","","64"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","84","","74"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","68","","66"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","53","","68"
"7","EJ Index","EJ Index for Traffic Proximity","","","38","","50"
"8","EJ Index","EJ Index for Lead Paint","","","55","","62"
"9","EJ Index","EJ Index for Superfund Proximity","","","51","","58"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","37","","56"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","40","","47"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","28","","41"
"13","EJ Index","EJ Index for Wastewater Discharge","","","50","","61"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","10.4","9.11","95","8.08","96"
"15","Environmental","Ozone (ppb)","70.7","64.6","94","61.6","95"
"16","Environmental","Diesel PM (ug/m3)","0.498","0.218","98","0.261","90-95th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","31","84","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.4","0.3","80","0.31","70-80th"
"19","Environmental","Toxic Releases to Air","30000","12000","88","4600","97"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","130","150","65","210","63"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.59","0.17","91","0.3","79"
"22","Environmental","Superfund Proximity (site count/km distance)","0.11","0.085","80","0.13","71"
"23","Environmental","RMP Proximity (facility count/km distance)","0.35","0.63","55","0.43","70"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","0.65","0.75","67","1.9","53"
"25","Environmental","Underground Storage Tank Indicator","1","2.3","41","3.9","48"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","0.057","0.91","86","22","79"
"27","Demographic","Demographic Index","21%","46%","17","35%","35"
"28","Demographic","Supplemental Demographic Index","8%","17%","19","14%","23"
"29","Demographic","People of Color Population","26%","58%","19","39%","45"
"30","Demographic","Low Income Population","16%","34%","27","31%","30"
"31","Demographic","Unemployed","5%","5%","57","6%","55"
"32","Demographic","Limited English Speaking Households","3%","8%","50","5%","66"
"33","Demographic","Population with Less Than High School Education","3%","16%","23","12%","27"
"34","Demographic","Population under Age 5","4%","6%","36","6%","42"
"35","Demographic","Population over Age 64","24%","14%","85","17%","78"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","63","","64"
"37","Supplemental Index","Supplemental Index for Ozone","","","63","","66"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","63","","64"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","82","","75"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","73","","65"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","57","","66"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","44","","48"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","54","","53"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","55","","55"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","40","","52"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","47","","43"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","24","","28"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","55","","56"
