"Tract 41051009204, OREGON, EPA Region 10 (Population: 3,944)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","79","","73"
"2","EJ Index","EJ Index for Ozone","","","96","","27"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","96","","87"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","95","","92"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","95","","90"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","97","","85"
"7","EJ Index","EJ Index for Traffic Proximity","","","91","","80"
"8","EJ Index","EJ Index for Lead Paint","","","86","","74"
"9","EJ Index","EJ Index for Superfund Proximity","","","92","","78"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","90","","79"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","70","","58"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","87","","78"
"13","EJ Index","EJ Index for Wastewater Discharge","","","87","","63"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","8.37","8.08","45","8.08","54"
"15","Environmental","Ozone (ppb)","55.7","52.7","86","61.6","11"
"16","Environmental","Diesel PM (ug/m3)","0.641","0.327","88","0.261","95-100th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","32","60","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.5","0.38","65","0.31","90-95th"
"19","Environmental","Toxic Releases to Air","2800","1500","87","4600","78"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","230","180","79","210","78"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.28","0.27","61","0.3","56"
"22","Environmental","Superfund Proximity (site count/km distance)","0.093","0.081","70","0.13","64"
"23","Environmental","RMP Proximity (facility count/km distance)","0.44","0.43","74","0.43","74"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","0.22","1.4","39","1.9","37"
"25","Environmental","Underground Storage Tank Indicator","7","3.8","81","3.9","83"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","0.0011","0.028","69","22","49"
"27","Demographic","Demographic Index","47%","27%","90","35%","71"
"28","Demographic","Supplemental Demographic Index","18%","13%","82","14%","73"
"29","Demographic","People of Color Population","53%","24%","92","39%","68"
"30","Demographic","Low Income Population","41%","29%","75","31%","70"
"31","Demographic","Unemployed","4%","6%","45","6%","48"
"32","Demographic","Limited English Speaking Households","13%","2%","95","5%","88"
"33","Demographic","Population with Less Than High School Education","12%","9%","73","12%","63"
"34","Demographic","Population under Age 5","5%","5%","56","6%","51"
"35","Demographic","Population over Age 64","8%","19%","16","17%","20"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","73","","73"
"37","Supplemental Index","Supplemental Index for Ozone","","","93","","19"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","94","","90"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","93","","93"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","93","","93"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","94","","86"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","88","","83"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","76","","70"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","90","","80"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","86","","79"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","62","","56"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","83","","79"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","84","","62"
