"Tract 41051007400, OREGON, EPA Region 10 (Population: 3,941)"
#,Category,Selected Variables,Value,State Avg.,%ile in State,USA Avg.,%ile in USA
"1","EJ Index","EJ Index for Particulate Matter 2.5","","","82","","75"
"2","EJ Index","EJ Index for Ozone","","","94","","22"
"3","EJ Index","EJ Index for Diesel Particulate Matter","","","96","","88"
"4","EJ Index","EJ Index for Air Toxics Cancer Risk","","","95","","93"
"5","EJ Index","EJ Index for Air Toxics Respiratory HI","","","96","","92"
"6","EJ Index","EJ Index for Toxic Releases to Air","","","97","","86"
"7","EJ Index","EJ Index for Traffic Proximity","","","93","","82"
"8","EJ Index","EJ Index for Lead Paint","","","94","","80"
"9","EJ Index","EJ Index for Superfund Proximity","","","94","","80"
"10","EJ Index","EJ Index for RMP Facility Proximity","","","79","","68"
"11","EJ Index","EJ Index for Hazardous Waste Proximity","","","98","","88"
"12","EJ Index","EJ Index for Underground Storage Tanks","","","94","","85"
"13","EJ Index","EJ Index for Wastewater Discharge","","","76","","49"
"14","Environmental","Particulate Matter (PM 2.5 in ug/m3)","8.37","8.08","46","8.08","54"
"15","Environmental","Ozone (ppb)","54.8","52.7","73","61.6","8"
"16","Environmental","Diesel PM (ug/m3)","0.59","0.327","82","0.261","90-95th"
"17","Environmental","Air Toxics Cancer Risk (risk per MM)","40","32","60","28","80-90th"
"18","Environmental","Air Toxics Respiratory Hazard Index","0.5","0.38","65","0.31","90-95th"
"19","Environmental","Toxic Releases to Air","2700","1500","84","4600","77"
"20","Environmental","Traffic Proximity and Volume (daily traffic count/distance to road)","220","180","79","210","77"
"21","Environmental","Lead Paint Indicator (% pre-1960s housing)","0.36","0.27","70","0.3","63"
"22","Environmental","Superfund Proximity (site count/km distance)","0.097","0.081","72","0.13","66"
"23","Environmental","RMP Proximity (facility count/km distance)","0.15","0.43","45","0.43","46"
"24","Environmental","Hazardous Waste Proximity (facility count/km distance)","6.8","1.4","95","1.9","92"
"25","Environmental","Underground Storage Tank Indicator","7.8","3.8","83","3.9","85"
"26","Environmental","Wastewater Discharge Indicators (toxicity-weighted concentration/m distance)","4.1E-05","0.028","39","22","25"
"27","Demographic","Demographic Index","49%","27%","92","35%","74"
"28","Demographic","Supplemental Demographic Index","17%","13%","79","14%","70"
"29","Demographic","People of Color Population","56%","24%","94","39%","70"
"30","Demographic","Low Income Population","43%","29%","78","31%","73"
"31","Demographic","Unemployed","5%","6%","53","6%","55"
"32","Demographic","Limited English Speaking Households","3%","2%","79","5%","70"
"33","Demographic","Population with Less Than High School Education","14%","9%","80","12%","69"
"34","Demographic","Population under Age 5","7%","5%","77","6%","72"
"35","Demographic","Population over Age 64","9%","19%","18","17%","23"
"36","Supplemental Index","Supplemental Indexfor Particulate Matter 2.5","","","72","","71"
"37","Supplemental Index","Supplemental Index for Ozone","","","87","","13"
"38","Supplemental Index","Supplemental Index for Diesel Particulate Matter","","","92","","88"
"39","Supplemental Index","Supplemental Index for Air Toxics Cancer Risk","","","91","","93"
"40","Supplemental Index","Supplemental Index for Air Toxics Respiratory HI","","","92","","92"
"41","Supplemental Index","Supplemental Index for Toxic Releases to Air","","","93","","84"
"42","Supplemental Index","Supplemental Index for Traffic Proximity","","","86","","82"
"43","Supplemental Index","Supplemental Index for Lead Paint","","","85","","75"
"44","Supplemental Index","Supplemental Index for Superfund Proximity","","","89","","79"
"45","Supplemental Index","Supplemental Index for RMP Facility Proximity","","","69","","64"
"46","Supplemental Index","Supplemental Index for Hazardous Waste Proximity","","","96","","87"
"47","Supplemental Index","Supplemental Index for Underground Storage Tanks","","","88","","84"
"48","Supplemental Index","Supplemental Index for Wastewater Discharge","","","63","","40"
